imdbID,original title,genres,countries,country codes,box office,certificates,rating,votes,plot outline,year,kind,full-size cover url
0000015,Autour d'une cabine,"Animation,Short",France,fr,N/A,N/A,6.2,1064,N/A,1894,movie,https://m.media-amazon.com/images/M/MV5BMGFjNWM4N2ItM2QyNy00YWRmLTgzMzItMjc0N2RjMjdlODdhXkEyXkFqcGdeQXVyMzQ5MjE2ODI@.jpg
0000019,The Clown Barber,"Short,Comedy",United Kingdom,gb,N/A,N/A,5.1,31,N/A,1898,movie,N/A
0000018,Das boxende Känguruh,Short,Germany,de,N/A,N/A,5.3,589,N/A,1895,movie,https://m.media-amazon.com/images/M/MV5BMGI3NDY2NmUtZmYwNi00OThhLWFhZWUtNmNiMTU3NzJmYmVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000014,L'arroseur arrosé,"Short,Comedy",France,fr,N/A,N/A,7.1,5438,"A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why the water has stopped coming. The boy lifts his foot from the hose, whereby the water squirts up in the gardener's face. The gardener chases the boy, grips his ear, and slaps him in his buttocks. The boy runs away, and the gardener continues his watering.",1895,short,https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@.jpg
0000022,Les forgerons,"Documentary,Short",France,fr,N/A,N/A,5.1,1086,"Two blacksmiths are at work, facing the camera, a wall, window, and stacked boxes behind them. Both are mustachioed with dark hair. On our right, a smith in the dark clothes of a laborer continuously turns the handle of the bellows, keeping hot a small furnace in front of him. On our left, in white shirt and tie, the lead smith pounds a three-foot length of metal on an anvil and then plunges the shaft into a tub of water at his feet. He takes a metal rod and scrapes it across the shaft. Next, from our left, a man enters with refreshments. Work pauses.",1895,movie,https://m.media-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000024,Opening of the Kiel Canal,"Short,News",United Kingdom,gb,N/A,N/A,4.2,110,N/A,1895,movie,https://m.media-amazon.com/images/M/MV5BNWNhYTg2M2EtYjQ2Ni00ZGEzLTkxNTctZDBkNWZjMDA5YTEzXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000013,Le débarquement du congrès de photographie à Lyon,"Documentary,Short",France,fr,N/A,N/A,5.7,1867,Members of the French Photographic Society arrive from a riverboat to their congress venue in Neuville-sur-Saône on a summer day. They go ashore across a wooden landing stage. Among the many men in straw hats are also a few women in long skirts. Some of the men lift their hats toward the photographer when passing. Many of them are carrying their own cameras.,1895,movie,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000016,Barque sortant du port,"Documentary,Short",France,fr,N/A,N/A,5.9,1480,"A rowboat with three men is leaving a little harbor. Two of them are rowing the boat, while the third is sitting in the stern. All of them wear hats. They are passing the outer end of a pier, where two women in long, black gowns and aprons are standing together with two little girls. It's windy and the waves are quite high. When the boat passes the pier, a big wave appears, that almost throws the boat back into the harbor.",1895,movie,https://m.media-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000020,The Derby 1895,"Documentary,Short,Sport",United Kingdom,gb,N/A,N/A,4.8,355,N/A,1895,movie,https://m.media-amazon.com/images/M/MV5BODBkMmI0NDMtM2Y0Zi00YTU1LWJiODktZTJlYTkxNjA5ZWU0XkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000023,Baignade en mer,"Documentary,Short",France,fr,N/A,N/A,5.7,1421,"The sea is before us. Some rocks are visible to the right and a narrow jetty extends about ten meters or so about three feet above the sea, held up by two sets of pylons. A woman and several lads about ten years old are coming out onto the rocks, one climbs onto the jetty at the end. He jumps back into the sea as the lads and lady run out to the end of the jetty and jump off. Even though the sea looks to be only about a foot deep, one boy does a flip into the water and repeats it later. The others simply jump in.",1895,movie,https://m.media-amazon.com/images/M/MV5BODBiN2QxZjktZmMwZi00NWY3LWI0NjktZmE5MzUwMzIyZDNjXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
